Title: Project Name,Blog Slug,Collections,Events,Funder(s),Initial Review of Data Complete,Notes/Comments re This Page Content (REVIEW ),Output: Project URL,Outputs,Outputs: Other,Project,Project Description (Internal Use),Project Description (Public),Project Partners,Project Status,Project Tag(s),Project Team,Related Blog,Resource,SBD www Status,SOW Project Dates,Slug (for SBD www),Team Directory,Topics,Who to Check Data
Citizen Browser,,,,https://www.notion.so/03322b01dba64c9d91b895e690f107bc,No,,,Citizen Browser / The Markup (https://www.notion.so/Citizen-Browser-The-Markup-c83f9f8e12d3402a8610a61eecedc380?pvs=21),"https://themarkup.org/citizen-browser,https://themarkup.org/citizen-browser/2021/01/05/how-we-built-a-facebook-inspector,https://themarkup.org/series/citizen-browser",Reset Tech | Citizen Browser The Markup (https://www.notion.so/Reset-Tech-Citizen-Browser-The-Markup-dacea27eb001417ea7e43b7d95ec3e9a?pvs=21),"TheMarkup wanted to study Facebook data to understand how people are being targeted with disinformation in the lead up to the 2020 US election. 

Simply Secure provided design support for TheMarkup as they developed an app person's computer to regularly collect their Facebook data.",,https://www.notion.so/7394226c5013487bb8e5c423daa8a3c4,complete,"https://www.notion.so/1dc2251e8cd34a24ac5a7ffc6266bf24, https://www.notion.so/3ad7b6c3cabc44bd958be8a3051f7fe4, https://www.notion.so/a0ac61a64b554cbda1900d4fa6a574f5, https://www.notion.so/cfed6312f5c04a1d8dd9918dd5756ef9","georgia-bullen,ame-elliott,eileen-wagner,kelsey-smith",,,Publish,"August 1, 2020 → September 30, 2020",,"Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Ame Elliott (https://www.notion.so/Ame-Elliott-11293d3c60b44cf294907c80c1d930a1?pvs=21), Eileen Wagner (https://www.notion.so/Eileen-Wagner-921112e822a74d7b99b7b81d82a5d40c?pvs=21), Kelsey Smith (https://www.notion.so/Kelsey-Smith-d374a3509f184ae8beaa75ecaba2f6e1?pvs=21)",,
VPN Bot (Reset.Tech),,,,https://www.notion.so/03322b01dba64c9d91b895e690f107bc,No,@Cade D - the output of the project is here: https://newdesigncongress.org/en/research/signalbots-threat-modelling but AFAIK it died in the Throneless + Reset chaos,,,,Reset Tech | VPN Bot (https://www.notion.so/Reset-Tech-VPN-Bot-09061e2edce24cbca2c10036e2d0978c?pvs=21),,,https://www.notion.so/1f468602279a4c089bd22cb1098ebae6,complete,,"cade-diehm,georgia-bullen",,,Publish,,,"Cade Diehm (https://www.notion.so/Cade-Diehm-e9fc196bad464125b31385a502269719?pvs=21), Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21)",,
Omidyar Network India Partner Perspectives,,,,https://www.notion.so/f29952c7419c4d94825ca68b0bf0f935,No,"Developed questions and a facilitation guide for interviews by 60 decibels.  Conducted mock interviews and assisted in synthesis

Check dates - are they? December 1, 2020 → January 30, 2021",,Omidyar Network India Partner Perspectives (https://www.notion.so/Omidyar-Network-India-Partner-Perspectives-d3f36541c48a42a8b063d40dc552d0be?pvs=21),,Omidyar Network India | Partner Perspectives (https://www.notion.so/Omidyar-Network-India-Partner-Perspectives-eb864c1daa8241f9aa20db4fcf434632?pvs=21),"Developed questions and a facilitation guide for interviews by 60 decibels.  Conducted mock interviews and assisted in synthesis.

Coaching time supporting an organization building new skills in qualitative, design-oriented interview method methods.",,https://www.notion.so/2b66ccd943c14b73a2f10d5f13f0e692,complete,"https://www.notion.so/02634a1cef8e4d6e82b476fd374fae4b, https://www.notion.so/6f8cb12bf7b948a3a0931515f99694bf","georgia-bullen,ame-elliott,eileen-wagner",,,Publish,"December 1, 2020",,"Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Ame Elliott (https://www.notion.so/Ame-Elliott-11293d3c60b44cf294907c80c1d930a1?pvs=21), Eileen Wagner (https://www.notion.so/Eileen-Wagner-921112e822a74d7b99b7b81d82a5d40c?pvs=21)",,
Matrix,,,,,No,,,,,,,,,,,,,,Publish,,,,,
Designing Better Data Futures,https://simplysecure.org/blog/designing-better-data-futures/,,,https://www.notion.so/78c352e232314a0885b87e6a1ed17744,No,"SOW not linked in the project card and I don’t see it in the project folder.  Caroline Sinders isn’t marked as partner on project card. 

Marked as a Current project but there’s an end date",,Design Futures: PopSci Shared Data | The Memory of Tomatoes | Home@Heart Stories (https://www.notion.so/Design-Futures-PopSci-Shared-Data-The-Memory-of-Tomatoes-Home-Heart-Stories-45722a26892e40ac9d96a2c9a46b66ae?pvs=21),"PopSci Home@Heart,https://www.popsci.com/technology/shared-data-a-short-story-from-an-alternate-future/,https://www.popsci.com/technology/the-memory-of-tomatoes-short-story/?taid=6231f45282b4e100014f7cd1&utm_campaign=trueanthem_AI&utm_medium=social&utm_source=twitter",Consumer Reports | Design Futures (https://www.notion.so/Consumer-Reports-Design-Futures-92a179b8a7274efdb97e6947034e5fb6?pvs=21),"Working with Consumer Reports to envision 3 future artefacts powered by a consumers data union OR Working with Consumer Reports Digital Lab, Mozilla, sci-fi writers, and policy experts to envision three futures powered by data cooperatives. Published in Popular Science",,,complete,"https://www.notion.so/871f6f229d81475d94e36918377c129e, https://www.notion.so/8f2cec34de65409088a1faaa8c0db5d9, https://www.notion.so/9654bbebc8664899b8b3ca26111d7452","melissa-huerta,georgia-bullen,susan-kennedy,cade-diehm,ame-elliott,caroline-sinders,nicola-pratt",Designing Better Data Futures (https://www.notion.so/Designing-Better-Data-Futures-721f0b1a51d24e71a9db485a3e212189?pvs=21),,Publish,"March 10, 2021 → May 31, 2021",,"Melissa Huerta (https://www.notion.so/Melissa-Huerta-33995d7c148943a380c061e82f9394fc?pvs=21), Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Susan Kennedy (https://www.notion.so/Susan-Kennedy-f196be37d0c346008a09170099db006a?pvs=21), Cade Diehm (https://www.notion.so/Cade-Diehm-e9fc196bad464125b31385a502269719?pvs=21), Ame Elliott (https://www.notion.so/Ame-Elliott-11293d3c60b44cf294907c80c1d930a1?pvs=21), Caroline Sinders (https://www.notion.so/Caroline-Sinders-b5b130e648934c478c6f82c72b55675a?pvs=21), Nicola Pratt (https://www.notion.so/Nicola-Pratt-d462e9e2f80f4e44b0a24ed362c31f1a?pvs=21)",,
Algorithms Exposed (ALEX),https://simplysecure.org/blog/popping-the-filter-bubble-design-practices-for-data-donation,,,"https://www.notion.so/53943f37c03740cda0bb5399d25c2213, https://www.notion.so/b74d9528dc1d4b5a88010f593c582235",No,,,Algorithms Exposed Website (https://www.notion.so/Algorithms-Exposed-Website-1b68fff8d200453b8beee5c1a510954a?pvs=21),https://algorithms.exposed/,University of Amsterdam | ALgorithms EXposed (ALEX) | Design Workshop (https://www.notion.so/University-of-Amsterdam-ALgorithms-EXposed-ALEX-Design-Workshop-39202603a9c347c9b96eb0c078a474a7?pvs=21),"In February 2020, Simply Secure planned and facilitated a one-day design thinking workshop to support Algorithms.exposed (ALEX), a browser extension that gathers algorithmic behaviors to reconstruct the proprietary algorithms that intrude into our lives.

A more usable tool means that more people can participate in ALEX, which furthers ALEX's mission to expose algorithms.

Through our research, there is a greater understanding of people's relationship to - data motivations to donate data
- willingness to donate data
- doubts and questions they have about data donation

Outlined opportunities for ALEX to improve currently, and grow in the future
Its outputs will serve users, researchers and policymakers by mapping the extent of personalization practices, the evidence of algorithmic targeting, and the associated damages.",,,complete,"https://www.notion.so/1dc2251e8cd34a24ac5a7ffc6266bf24, https://www.notion.so/48a91288f21d45eab8e0bde0157ca9fb, https://www.notion.so/4f8c223b4db64ec1a480a91fd41d1bae, https://www.notion.so/a329309610664af0a7cb5379ea00513c, https://www.notion.so/a49beb9ea00e46c88d23da35cd3dd4a5, https://www.notion.so/cfed6312f5c04a1d8dd9918dd5756ef9","eileen-wagner,georgia-bullen,ame-elliott,ngọc-triệu,kelsey-smith",Popping the Filter Bubble: Design Practices for Data Donation (https://www.notion.so/Popping-the-Filter-Bubble-Design-Practices-for-Data-Donation-f7da43ceb9904154a2e8f5d0de4090b3?pvs=21),,Publish,"February 20, 2020 → April 19, 2020",,"Eileen Wagner (https://www.notion.so/Eileen-Wagner-921112e822a74d7b99b7b81d82a5d40c?pvs=21), Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Ame Elliott (https://www.notion.so/Ame-Elliott-11293d3c60b44cf294907c80c1d930a1?pvs=21), ngọc triệu (https://www.notion.so/ng-c-tri-u-6ba0a27153c64c288cf4ad6b1d7005dd?pvs=21), Kelsey Smith (https://www.notion.so/Kelsey-Smith-d374a3509f184ae8beaa75ecaba2f6e1?pvs=21)",,
Mozilla Open Source Support (MOSS) Web Design,,,,"https://www.notion.so/02fe6d7e0cff4e6e8fd849ce12c48576, https://www.notion.so/d38ed19795e4451bb307c77440467a73",No,Dates taken from the vendor agreement,,,,MOSS | Website (https://www.notion.so/MOSS-Website-dffa1488006741619461b27a94f5c2e3?pvs=21),"We undertook a user research, an accessibility review and UX Design for the  Wireframing & Workflows of the MOSS website",,https://www.notion.so/d229dd3ef0ee48628472af38ee343974,complete,,"georgia-bullen,susan-kennedy",,,Publish,"December 23, 2019 → February 29, 2020",,"Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Susan Kennedy (https://www.notion.so/Susan-Kennedy-f196be37d0c346008a09170099db006a?pvs=21)",,Georgia Bullen
RiseUp VPN Usability,,,,https://www.notion.so/c609bfd13f9b4e40b3c2b2e61d7ccbd0,No,,https://riseup.net/en/vpn,,,Internews UX Fund | RiseUp VPN LEAP (https://www.notion.so/Internews-UX-Fund-RiseUp-VPN-LEAP-9917cc36ddf1494d8a95cbcd81f80de2?pvs=21),"Riseup offers VPN service to anyone online, but focuses primarily on human rights activists, journalists, and social justice workers due to the tool’s location anonymization feature and lack of sign-in, payment, or IP address logging requirements. 

Riseup asked us to redesign their entire user experience on desktop and manual selection (a feature that allows users to choose the exit point of their VPN) to both mobile and desktop. 
  
The ultimate goal of the project was not only to design and test the usability of manual selection, but also to position the Riseup development team to be able to incorporate sustainable, user-centered design into its culture and improve the usability of RiseUp VPN.",,,complete,"https://www.notion.so/15e2c9d1335e4efdb26e2bdd78f29496, https://www.notion.so/25bb3021223c413383cc4ac16d058ea0, https://www.notion.so/37704b8cb0ff48d38e2b10e7ad2bff6b, https://www.notion.so/3ad7b6c3cabc44bd958be8a3051f7fe4, https://www.notion.so/3f8c19bb1bbd4fb582fad166a638bf45, https://www.notion.so/92f848c334854d41850a091a8129a828","eileen-wagner,karissa-mckelvey,katie-wilson,carissa-yao",,,Publish,"February 1, 2021 → June 30, 2021",,"Eileen Wagner (https://www.notion.so/Eileen-Wagner-921112e822a74d7b99b7b81d82a5d40c?pvs=21), Karissa McKelvey  (https://www.notion.so/Karissa-McKelvey-8506525efe0f4d6a8a49b9b9e3e7f6c6?pvs=21), Katie Wilson (https://www.notion.so/Katie-Wilson-e3486d686d2d4b189bc027666bd5f3b9?pvs=21), Carissa Yao (https://www.notion.so/Carissa-Yao-ef9034eb3251463c89f9f9dad535a644?pvs=21)",,
Python PIP CLI Usability,,,,"https://www.notion.so/3562dc8e57c74392a58e854f445b5991, https://www.notion.so/d38ed19795e4451bb307c77440467a73, https://www.notion.so/e3769101b94342b88e49cfd50928b46c",No,"SOW not linked in the project card.  Marked as a Current project but there’s an end date

",,,,Python Software Foundation | PIP CLI & Developer Improvements (https://www.notion.so/Python-Software-Foundation-PIP-CLI-Developer-Improvements-4c46587fc16443388bd8b9484dedb528?pvs=21),"Supporting the pip team (package installer for Python) with user research and design, with a focus on improving the developer user experience of the command-line interface (CLI) tool.

- Improved UX of the Pip CLI
- Training for the pip maintainer community around getting user feedback, research & design
- A participant panel for testing and feedback engagement
- Research outputs and resources for future UX work on pip",,"https://www.notion.so/00f814e7e6cf4ad0ab237f8bb3b0f417, https://www.notion.so/71dbda38f79649ba997f2b2d7c99b5d7",complete,"https://www.notion.so/0ab377ff8fde419c926610bce8510942, https://www.notion.so/12e16b0f6b444caaaa71beddca507b80, https://www.notion.so/37704b8cb0ff48d38e2b10e7ad2bff6b, https://www.notion.so/3ad7b6c3cabc44bd958be8a3051f7fe4, https://www.notion.so/3f8c19bb1bbd4fb582fad166a638bf45, https://www.notion.so/4153818e476448338397cc0efea2e9d4, https://www.notion.so/42469678a7ca4abd86c1146d33f34e81, https://www.notion.so/4f8c223b4db64ec1a480a91fd41d1bae, https://www.notion.so/8b3f8c3b155e4f9baf880b05e0ca3069, https://www.notion.so/92f848c334854d41850a091a8129a828, https://www.notion.so/ac4eef262e9b456297eb5571e1afa995, https://www.notion.so/cfed6312f5c04a1d8dd9918dd5756ef9, https://www.notion.so/ebfd7e6934b34cba8157f4126924dc7c","georgia-bullen,karissa-mckelvey,ngọc-triệu",,,Publish,"January 1, 2020 → January 18, 2021",,"Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Karissa McKelvey  (https://www.notion.so/Karissa-McKelvey-8506525efe0f4d6a8a49b9b9e3e7f6c6?pvs=21), ngọc triệu (https://www.notion.so/ng-c-tri-u-6ba0a27153c64c288cf4ad6b1d7005dd?pvs=21)",,
Save Internet Freedom Tech (SIFT),,,,https://www.notion.so/03322b01dba64c9d91b895e690f107bc,No,,,Save Internet Freedom Tech (SIFT) (https://www.notion.so/Save-Internet-Freedom-Tech-SIFT-3596e4df296044f69aad2505d277e4a4?pvs=21),https://saveinternetfreedom.tech,Reset Tech | Save Internet Freedom Tech (SIFT) (https://www.notion.so/Reset-Tech-Save-Internet-Freedom-Tech-SIFT-23bb89ec73e9468ea9ec0ba63a8a0a6c?pvs=21),"I worked 18 hours a day, 7 days a week on this project!",,https://www.notion.so/1f468602279a4c089bd22cb1098ebae6,complete,,georgia-bullen,,,Publish,"June 15, 2020 → December 31, 2020",,Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21),,
